Month,S&P 500,Ishare Bond Fund,Alpha Index
January,97.04,102.05,101.19
February,102.49,98.94,102.28
March,100.43,100.19,103.42
April,101.42,99.31,104.77
May,102.73,99.56,105.97
June,100.66,98.73,107.36
July,102.89,100.86,108.63
August,96.58,99.6,110.08
September,94.19,100.61,111.86
